"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","mturkcode","Q39","Q41","hungry","full","Q55","Q57","Q59","Q61","Q63","Q65","Q67","Q69","Q71","Q73","Q75","Q77","Q79","Q81","Q83","Q85","Q87","Q89","Q91","Q93","Q95","Q97","Q2","Q3","Q4","Q6","Q50","DO_BR_FL_41","DO_BL_prediction","DO_BL_now","DO_BL_general","LocationLatitude","LocationLongitude","LocationAccuracy","condition","choice_now","choice_general"
"R_1pMvOn1yGmzztKt","Default Response Set","Anonymous","","","128.135.98.53","0",2017-09-05 12:16:43,2017-09-05 12:18:29,1,"838447",1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,99,2,1,"","","Q55|Q69|Q73|Q63|Q61|Q59|Q75|Q67|Q57|Q71|Q65","Q77|Q87|Q97|Q91|Q79|Q85|Q93|Q81|Q95|Q83|Q89","41.780395507812","-87.602699279785","-1",NA,NA,NA
"R_2D2evQTNgdu5GJJ","Default Response Set","Anonymous","","","205.154.229.184","0",2017-09-05 12:26:25,2017-09-05 12:28:12,1,"794567",1,1,NA,1,1,9,9,8,9,6,9,8,9,9,8,1,9,9,9,9,7,9,9,9,9,9,1,2,39,2,1,"now|general","Q41|full","Q55|Q61|Q75|Q69|Q73|Q67|Q71|Q59|Q65|Q57|Q63","Q77|Q83|Q91|Q85|Q93|Q79|Q97|Q87|Q95|Q89|Q81","34.039001464844","-117.75479888916","-1",2,8.2,8.6
"R_1ovbihGgcrMW2co","Default Response Set","Anonymous","","","72.220.195.220","0",2017-09-05 12:27:04,2017-09-05 12:28:28,1,"859287",1,1,1,NA,1,9,9,9,9,9,9,5,5,5,5,1,9,9,9,9,9,9,5,5,5,5,1,1,35,1,1,"general|now","Q41|hungry","Q55|Q75|Q63|Q65|Q57|Q73|Q61|Q69|Q59|Q67|Q71","Q77|Q81|Q85|Q95|Q83|Q97|Q79|Q91|Q93|Q89|Q87","32.716995239258","-116.99499511719","-1",1,9,9
"R_2VOqElkGHx6dpZu","Default Response Set","Anonymous","","","24.192.179.83","0",2017-09-05 12:26:52,2017-09-05 12:28:35,1,"826794",1,1,NA,1,1,6,5,6,6,6,4,5,5,5,7,1,7,6,6,7,6,4,5,5,5,5,1,2,37,1,1,"now|general","Q41|full","Q55|Q73|Q75|Q59|Q61|Q63|Q71|Q69|Q65|Q67|Q57","Q77|Q81|Q95|Q83|Q91|Q97|Q93|Q85|Q87|Q79|Q89","42.554595947266","-82.917098999023","-1",2,5.8,6.4
"R_9N5Hb5mxJHxBFTj","Default Response Set","Anonymous","","","107.77.195.201","0",2017-09-05 12:26:31,2017-09-05 12:28:38,1,"975408",1,1,1,NA,1,9,9,9,9,9,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,7,1,1,31,1,1,"now|general","Q41|hungry","Q55|Q61|Q73|Q59|Q67|Q57|Q75|Q65|Q69|Q71|Q63","Q77|Q87|Q85|Q81|Q95|Q91|Q79|Q89|Q97|Q93|Q83","42.265396118164","-83.208000183105","-1",1,9,5
"R_1n8aCwZjdUCs2cY","Default Response Set","Anonymous","","","173.220.184.130","0",2017-09-05 12:26:57,2017-09-05 12:28:48,1,"786436",1,1,1,NA,1,7,7,7,7,7,3,3,7,7,8,1,6,6,6,7,6,4,5,6,5,8,1,1,43,1,1,"now|general","Q41|hungry","Q55|Q73|Q69|Q63|Q71|Q61|Q57|Q67|Q59|Q65|Q75","Q77|Q79|Q93|Q89|Q83|Q91|Q81|Q85|Q95|Q97|Q87","40.873306274414","-74.165901184082","-1",1,7,6.2
"R_3CNSlzuhuH7KuZY","Default Response Set","Anonymous","","","208.104.22.170","0",2017-09-05 12:26:01,2017-09-05 12:28:51,1,"913389",1,1,1,NA,1,8,8,2,9,8,8,3,3,7,8,1,8,4,2,9,3,9,3,3,8,8,1,2,26,1,1,"general|now","Q41|hungry","Q55|Q61|Q57|Q67|Q75|Q65|Q69|Q63|Q59|Q71|Q73","Q77|Q89|Q91|Q87|Q83|Q85|Q97|Q81|Q93|Q95|Q79","34.760101318359","-80.693000793457","-1",1,7,5.2
"R_33qYJhZ1oggMCqJ","Default Response Set","Anonymous","","","73.129.35.210","0",2017-09-05 12:26:20,2017-09-05 12:28:51,1,"843033",1,1,1,NA,1,1,9,9,9,9,5,5,5,9,9,1,2,9,9,5,8,5,5,5,7,7,1,1,62,1,1,"general|now","Q41|hungry","Q55|Q61|Q73|Q57|Q71|Q67|Q63|Q65|Q75|Q69|Q59","Q77|Q81|Q83|Q85|Q93|Q79|Q91|Q97|Q95|Q89|Q87","39.456207275391","-77.963897705078","-1",1,7.4,6.6
"R_qDXqoHucrthxHix","Default Response Set","Anonymous","","","167.102.56.138","0",2017-09-05 12:27:15,2017-09-05 12:28:54,1,"798969",1,1,1,NA,1,9,9,9,9,9,4,4,5,5,1,1,8,8,8,9,8,3,2,5,5,2,1,2,22,1,1,"general|now","Q41|hungry","Q55|Q73|Q59|Q57|Q75|Q63|Q69|Q67|Q71|Q61|Q65","Q77|Q83|Q97|Q87|Q95|Q91|Q85|Q79|Q81|Q89|Q93","39.617202758789","-75.867797851562","-1",1,9,8.2
"R_1OxxrFEPWH3d19c","Default Response Set","Anonymous","","","173.94.78.34","0",2017-09-05 12:26:52,2017-09-05 12:28:56,1,"985055",1,1,NA,1,1,1,1,2,2,3,4,2,5,3,5,1,3,3,7,3,3,5,3,5,5,6,1,1,26,1,1,"general|now","Q41|full","Q55|Q65|Q71|Q61|Q73|Q57|Q59|Q69|Q67|Q63|Q75","Q77|Q81|Q89|Q91|Q97|Q95|Q83|Q87|Q85|Q79|Q93","35.893997192383","-80.561401367188","-1",2,1.8,3.8
"R_ZvEhhcVP8YPV0Nb","Default Response Set","Anonymous","","","216.125.160.51","0",2017-09-05 12:27:22,2017-09-05 12:28:57,1,"910909",1,1,NA,1,1,1,2,2,2,1,4,5,4,3,5,1,6,5,5,6,4,8,3,3,6,5,1,1,30,1,1,"now|general","Q41|full","Q55|Q61|Q63|Q75|Q67|Q59|Q73|Q65|Q57|Q69|Q71","Q77|Q79|Q93|Q83|Q95|Q97|Q85|Q81|Q87|Q91|Q89","42.018203735352","-88.217300415039","-1",2,1.6,5.2
"R_3iQJg6UyWnsoGIO","Default Response Set","Anonymous","","","69.207.137.7","0",2017-09-05 12:26:49,2017-09-05 12:29:02,1,"960067",1,1,NA,1,1,1,1,1,1,1,5,1,1,1,1,1,1,6,1,3,1,4,1,3,4,4,1,2,28,1,1,"now|general","Q41|full","Q55|Q57|Q65|Q67|Q61|Q69|Q59|Q63|Q75|Q71|Q73","Q77|Q89|Q81|Q97|Q85|Q91|Q79|Q87|Q93|Q83|Q95","43.214401245117","-77.712501525879","-1",2,1,2.4
"R_3kMRubhtSrHedWr","Default Response Set","Anonymous","","","173.26.139.49","0",2017-09-05 12:27:22,2017-09-05 12:29:21,1,"979718",1,1,1,NA,1,6,6,6,5,6,4,6,4,5,6,1,7,6,6,6,6,4,6,4,6,6,1,2,62,1,1,"general|now","Q41|hungry","Q55|Q67|Q57|Q69|Q73|Q65|Q75|Q63|Q59|Q71|Q61","Q77|Q83|Q79|Q89|Q93|Q81|Q87|Q85|Q91|Q95|Q97","37.170196533203","-93.329696655273","-1",1,5.8,6.2
"R_pQ1QqyiwJVwfObT","Default Response Set","Anonymous","","","198.1.37.182","0",2017-09-05 12:26:48,2017-09-05 12:29:20,1,"838029",1,1,NA,1,1,3,2,3,2,3,4,3,4,3,8,1,3,2,3,2,3,4,4,3,3,8,1,1,54,1,1,"general|now","Q41|full","Q55|Q69|Q63|Q57|Q61|Q65|Q75|Q67|Q73|Q71|Q59","Q77|Q89|Q93|Q91|Q83|Q95|Q87|Q81|Q97|Q85|Q79","47.668899536133","-117.43690490723","-1",2,2.6,2.6
"R_1NyRetJmpeJGMq5","Default Response Set","Anonymous","","","70.188.197.246","0",2017-09-05 12:26:04,2017-09-05 12:29:35,1,"821907",1,1,NA,1,1,6,6,6,7,6,4,3,5,6,6,1,6,6,5,6,7,4,3,5,7,5,1,2,41,1,1,"general|now","Q41|full","Q55|Q75|Q71|Q67|Q65|Q63|Q61|Q69|Q57|Q73|Q59","Q77|Q87|Q85|Q79|Q95|Q97|Q89|Q83|Q91|Q81|Q93","33.613494873047","-112.2333984375","-1",2,6.2,6
"R_1hyuQjKbikAxJR1","Default Response Set","Anonymous","","","24.216.114.235","0",2017-09-05 12:27:08,2017-09-05 12:29:37,1,"844239",1,1,1,NA,1,4,7,3,6,3,6,5,3,4,7,1,3,8,4,8,3,5,3,3,3,4,1,1,35,1,1,"general|now","Q41|hungry","Q55|Q75|Q67|Q63|Q59|Q69|Q61|Q57|Q73|Q65|Q71","Q77|Q85|Q81|Q89|Q95|Q91|Q83|Q79|Q97|Q87|Q93","38.503204345703","-89.149696350098","-1",1,4.6,5.2
"R_WDJbO5f5oErv0l3","Default Response Set","Anonymous","","","68.96.180.214","0",2017-09-05 12:26:51,2017-09-05 12:29:38,1,"959618",1,1,1,NA,1,9,9,9,9,9,1,9,1,1,9,1,9,9,9,9,9,1,9,1,1,9,1,1,27,1,1,"now|general","Q41|hungry","Q55|Q57|Q61|Q63|Q69|Q71|Q73|Q65|Q75|Q59|Q67","Q77|Q89|Q97|Q95|Q87|Q91|Q83|Q81|Q79|Q85|Q93","36.178802490234","-115.04959869385","-1",1,9,9
"R_9pdTo78Qh7vaAbn","Default Response Set","Anonymous","","","72.80.129.179","0",2017-09-05 12:27:05,2017-09-05 12:29:42,1,"806198",1,1,NA,1,1,7,2,6,3,7,8,4,5,4,7,1,6,3,7,4,8,8,4,5,3,6,1,1,44,1,1,"now|general","Q41|full","Q55|Q73|Q61|Q71|Q59|Q67|Q63|Q65|Q75|Q69|Q57","Q77|Q95|Q97|Q85|Q91|Q81|Q93|Q89|Q83|Q87|Q79","40.787292480469","-73.811302185059","-1",2,5,5.6
"R_vcLiMK3jzmcvhrX","Default Response Set","Anonymous","","","68.50.26.34","0",2017-09-05 12:26:22,2017-09-05 12:29:57,1,"963338",1,1,1,NA,1,9,8,7,9,9,3,7,3,3,6,1,6,7,7,9,8,4,6,3,5,5,1,2,26,1,1,"now|general","Q41|hungry","Q55|Q61|Q59|Q67|Q75|Q63|Q73|Q57|Q69|Q65|Q71","Q77|Q93|Q91|Q87|Q81|Q79|Q97|Q95|Q85|Q83|Q89","38.861999511719","-86.471099853516","-1",1,8.4,7.4
"R_3rIk2dE5mx66Ftd","Default Response Set","Anonymous","","","68.36.42.119","0",2017-09-05 12:28:04,2017-09-05 12:30:02,1,"989879",1,1,NA,1,1,2,2,3,1,2,2,5,2,8,2,1,4,6,3,2,5,6,5,2,8,3,1,1,29,1,1,"now|general","Q41|full","Q55|Q63|Q57|Q65|Q67|Q59|Q69|Q71|Q73|Q75|Q61","Q77|Q81|Q79|Q89|Q85|Q97|Q95|Q91|Q93|Q87|Q83","42.568206787109","-83.906196594238","-1",2,2,4
"R_26hDz6CfE0YKuYo","Default Response Set","Anonymous","","","98.114.150.226","0",2017-09-05 12:27:03,2017-09-05 12:30:04,1,"863429",1,1,NA,1,1,3,3,3,4,3,5,3,6,3,6,1,3,3,3,4,3,5,3,5,3,7,1,2,52,1,1,"now|general","Q41|full","Q55|Q63|Q75|Q71|Q67|Q65|Q61|Q73|Q57|Q59|Q69","Q77|Q87|Q93|Q89|Q97|Q95|Q81|Q83|Q79|Q85|Q91","40.026596069336","-75.333297729492","-1",2,3.2,3.2
"R_1q7MwOitn6H6YtI","Default Response Set","Anonymous","","","162.72.217.167","0",2017-09-05 12:27:06,2017-09-05 12:30:08,1,"874041",1,1,1,NA,1,7,7,8,7,7,6,5,4,4,5,1,6,7,8,7,6,6,5,4,4,6,1,1,34,1,1,"general|now","Q41|hungry","Q55|Q67|Q73|Q59|Q61|Q69|Q71|Q63|Q57|Q65|Q75","Q77|Q93|Q89|Q83|Q85|Q87|Q97|Q95|Q91|Q79|Q81","36.165893554688","-86.784400939941","-1",1,7.2,6.8
"R_1QLSr9HKf6cXoSg","Default Response Set","Anonymous","","","98.223.219.154","0",2017-09-05 12:28:10,2017-09-05 12:30:17,1,"910138",1,1,NA,1,1,2,2,1,8,1,2,7,5,1,9,1,2,3,2,6,3,3,4,3,2,7,1,1,22,1,1,"general|now","Q41|full","Q55|Q69|Q73|Q65|Q75|Q59|Q63|Q57|Q71|Q61|Q67","Q77|Q95|Q83|Q97|Q79|Q93|Q87|Q85|Q91|Q81|Q89","42.015197753906","-87.990097045898","-1",2,2.8,3.2
"R_2f1dIW1bsrn8POj","Default Response Set","Anonymous","","","170.115.248.25","0",2017-09-05 12:28:38,2017-09-05 12:30:27,1,"854990",1,1,1,NA,1,9,8,9,9,9,7,7,3,5,5,1,7,4,7,7,7,4,7,4,4,5,1,1,27,1,1,"general|now","Q41|hungry","Q55|Q63|Q71|Q75|Q61|Q57|Q73|Q65|Q59|Q69|Q67","Q77|Q93|Q79|Q91|Q87|Q97|Q89|Q85|Q95|Q81|Q83","39.977905273438","-75.122299194336","-1",1,8.8,6.4
"R_3CB0CfCia9u6o9N","Default Response Set","Anonymous","","","204.9.150.217","0",2017-09-05 12:28:24,2017-09-05 12:30:31,1,"936138",1,1,NA,1,1,7,3,3,3,7,5,4,3,7,7,1,5,5,5,5,5,5,5,5,5,5,1,1,31,1,1,"now|general","Q41|full","Q55|Q65|Q71|Q69|Q75|Q61|Q59|Q67|Q63|Q57|Q73","Q77|Q95|Q83|Q79|Q85|Q81|Q87|Q91|Q93|Q89|Q97","40.039306640625","-81.584297180176","-1",2,4.6,5
"R_pEQjv0JBLUYPpzb","Default Response Set","Anonymous","","","108.245.73.218","0",2017-09-05 12:27:12,2017-09-05 12:30:44,1,"895705",1,1,NA,1,1,1,1,1,1,1,5,7,5,5,6,1,1,1,1,1,1,1,1,9,1,9,1,1,55,1,1,"now|general","Q41|full","Q55|Q61|Q63|Q75|Q71|Q73|Q59|Q67|Q69|Q57|Q65","Q77|Q89|Q93|Q91|Q79|Q83|Q95|Q97|Q85|Q81|Q87","34.199401855469","-118.29139709473","-1",2,1,1
"R_1CvcMUKgfCOo52x","Default Response Set","Anonymous","","","68.174.207.183","0",2017-09-05 12:29:10,2017-09-05 12:30:49,1,"788665",1,1,NA,1,1,5,4,4,6,5,4,4,5,4,7,1,4,4,3,5,5,4,5,7,4,6,1,1,32,1,1,"now|general","Q41|full","Q55|Q65|Q75|Q57|Q73|Q67|Q71|Q69|Q63|Q61|Q59","Q77|Q87|Q97|Q95|Q85|Q81|Q89|Q79|Q93|Q91|Q83","40.751693725586","-73.883201599121","-1",2,4.8,4.2
"R_3GBe7ga3exT1EGL","Default Response Set","Anonymous","","","72.241.196.70","0",2017-09-05 12:29:25,2017-09-05 12:30:51,1,"817953",1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,37,1,1,"now|general","Q41|full","Q55|Q73|Q61|Q57|Q67|Q59|Q71|Q65|Q75|Q63|Q69","Q77|Q81|Q95|Q83|Q87|Q91|Q97|Q93|Q79|Q85|Q89","41.705902099609","-83.637603759766","-1",2,1,1
"R_247xRntWS2HCX6a","Default Response Set","Anonymous","","","108.171.130.173","0",2017-09-05 12:29:07,2017-09-05 12:30:52,1,"909360",1,1,1,NA,1,9,9,9,9,9,6,7,7,7,2,1,9,9,9,9,9,7,7,7,6,2,1,2,36,1,1,"general|now","Q41|hungry","Q55|Q67|Q61|Q73|Q63|Q75|Q71|Q65|Q59|Q69|Q57","Q77|Q93|Q95|Q97|Q89|Q91|Q81|Q83|Q79|Q87|Q85","37.751007080078","-97.821998596191","-1",1,9,9
"R_31YKhcyOKqPOjX7","Default Response Set","Anonymous","","","173.16.171.8","0",2017-09-05 12:26:14,2017-09-05 12:31:22,1,"812638",1,1,1,NA,1,9,9,9,9,9,1,1,1,1,1,1,9,9,9,9,9,1,9,1,1,1,1,2,65,1,1,"general|now","Q41|hungry","Q55|Q67|Q73|Q75|Q71|Q61|Q59|Q69|Q63|Q65|Q57","Q77|Q81|Q79|Q89|Q93|Q85|Q97|Q87|Q91|Q95|Q83","41.973098754883","-91.576698303223","-1",1,9,9
"R_1gwnhbg6yRklVlQ","Default Response Set","Anonymous","","","75.132.108.44","0",2017-09-05 12:28:09,2017-09-05 12:31:26,1,"804269",1,1,1,NA,1,5,7,7,5,3,5,3,3,1,9,1,7,7,8,7,7,4,5,8,7,5,1,1,37,1,1,"general|now","Q41|hungry","Q55|Q67|Q75|Q73|Q63|Q57|Q59|Q71|Q65|Q69|Q61","Q77|Q95|Q83|Q85|Q97|Q81|Q91|Q89|Q87|Q93|Q79","38.601898193359","-89.913803100586","-1",1,5.4,7.2
"R_PI2yLVxpPrEfroJ","Default Response Set","Anonymous","","","98.176.102.40","0",2017-09-05 12:29:18,2017-09-05 12:31:29,1,"899015",1,1,NA,1,1,1,2,1,2,1,3,2,2,1,6,1,3,1,4,2,2,3,3,1,1,7,1,1,33,1,1,"general|now","Q41|full","Q55|Q57|Q61|Q67|Q71|Q69|Q75|Q59|Q63|Q65|Q73","Q77|Q89|Q81|Q79|Q95|Q91|Q97|Q85|Q87|Q93|Q83","33.156494140625","-117.17070007324","-1",2,1.4,2.4
"R_1IgUv3WnFERsoT6","Default Response Set","Anonymous","","","70.168.7.208","0",2017-09-05 12:28:12,2017-09-05 12:31:29,1,"931005",1,1,NA,1,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,1,61,1,1,"general|now","Q41|full","Q55|Q67|Q57|Q73|Q65|Q75|Q71|Q69|Q59|Q61|Q63","Q77|Q95|Q81|Q97|Q91|Q79|Q85|Q89|Q87|Q83|Q93","41.625900268555","-71.213401794434","-1",2,5,5
"R_ZpzOIHD6sVzO5bj","Default Response Set","Anonymous","","","73.75.151.81","0",2017-09-05 12:29:24,2017-09-05 12:31:33,1,"952101",1,1,1,NA,1,1,9,9,1,9,9,1,1,1,9,1,9,9,2,9,9,9,1,1,1,1,1,1,52,1,1,"general|now","Q41|hungry","Q55|Q69|Q71|Q73|Q67|Q57|Q65|Q61|Q75|Q63|Q59","Q77|Q91|Q81|Q97|Q87|Q83|Q85|Q95|Q79|Q93|Q89","41.667098999023","-85.965896606445","-1",1,5.8,7.6
"R_3fe4heHPGhHx0nx","Default Response Set","Anonymous","","","69.85.236.5","0",2017-09-05 12:30:22,2017-09-05 12:31:40,1,"829071",1,1,NA,1,1,6,7,6,6,6,7,4,7,7,4,1,3,6,3,4,7,3,4,4,6,5,1,2,31,1,1,"general|now","Q41|full","Q55|Q75|Q61|Q73|Q71|Q69|Q67|Q63|Q59|Q57|Q65","Q77|Q87|Q95|Q93|Q97|Q89|Q79|Q83|Q85|Q81|Q91","28.634399414062","-81.622100830078","-1",2,6.2,4.6
"R_r2xORKyyXs8mHaF","Default Response Set","Anonymous","","","75.13.139.146","0",2017-09-05 12:29:56,2017-09-05 12:31:46,1,"858958",1,1,NA,1,1,1,1,1,1,1,9,1,9,1,1,1,1,1,1,1,1,9,1,9,1,1,1,1,35,1,1,"now|general","Q41|full","Q55|Q57|Q63|Q73|Q65|Q61|Q59|Q67|Q69|Q75|Q71","Q77|Q93|Q85|Q97|Q81|Q79|Q87|Q89|Q91|Q95|Q83","38.564697265625","-90.535697937012","-1",2,1,1
"R_3gN1tAh24po0Svd","Default Response Set","Anonymous","","","172.10.47.15","0",2017-09-05 12:28:58,2017-09-05 12:31:52,1,"825332",1,1,NA,1,1,3,7,7,6,3,2,8,8,6,2,1,4,7,7,7,3,3,7,8,5,3,1,1,30,1,1,"now|general","Q41|full","Q55|Q57|Q71|Q69|Q67|Q61|Q59|Q75|Q65|Q73|Q63","Q77|Q81|Q87|Q91|Q83|Q79|Q89|Q97|Q85|Q95|Q93","30.542297363281","-97.917602539062","-1",2,5.2,5.6
"R_3RpCqiTl9rXVhpc","Default Response Set","Anonymous","","","24.234.80.105","0",2017-09-05 12:28:53,2017-09-05 12:31:59,1,"858257",1,1,1,NA,1,8,8,7,8,7,5,6,5,5,4,1,8,8,6,7,8,5,6,5,5,5,1,1,41,1,1,"now|general","Q41|hungry","Q55|Q65|Q71|Q67|Q75|Q63|Q59|Q73|Q57|Q69|Q61","Q77|Q81|Q79|Q89|Q83|Q97|Q87|Q93|Q91|Q85|Q95","36.144302368164","-115.27940368652","-1",1,7.6,7.4
"R_21txN4CMTKpGv0b","Default Response Set","Anonymous","","","24.225.114.170","0",2017-09-05 12:28:51,2017-09-05 12:32:02,1,"979131",1,1,NA,1,1,1,2,1,1,1,3,1,2,8,7,1,2,3,1,3,3,1,1,7,6,3,1,1,37,1,1,"general|now","Q41|full","Q55|Q71|Q75|Q73|Q65|Q67|Q69|Q59|Q57|Q61|Q63","Q77|Q95|Q97|Q83|Q91|Q93|Q89|Q87|Q85|Q79|Q81","48.769897460938","-95.790397644043","-1",2,1.2,2.4
